outcome,auction,merchandise,device,country,ip,url,bidder_id_count
0.0,0.06597222222222222,1.0,0.11805555555555557,0.3541666666666667,0.06597222222222221,1.0,24.0
0.0,1.0,1.0,0.5555555555555555,1.0,0.3333333333333333,0.5555555555555555,3.0
0.0,0.25,1.0,0.625,1.0,0.25,0.625,4.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.1214984391259105,1.0,0.04990634755463059,0.9871800208116545,0.0136108220603538,0.1270759625390219,155.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.125,1.0,0.53125,1.0,0.40625,0.125,8.0
0.0,0.12802768166089964,1.0,0.8875432525951558,0.48269896193771633,0.032871972318339104,1.0,34.0
0.0,0.5,1.0,0.5,1.0,0.5,0.5,2.0
0.0,0.12244897959183672,1.0,0.11224489795918366,0.38775510204081626,0.1020408163265306,0.21428571428571425,14.0
0.0,0.38888888888888884,1.0,0.3333333333333333,0.38888888888888884,0.3333333333333333,0.16666666666666666,6.0
0.0,0.5336392135378621,1.0,0.032693166139112086,0.3251067790763737,0.003733463192922652,0.3272766009252496,888.0
0.0,0.5,1.0,0.5,1.0,0.5,0.5,2.0
0.0,0.5,1.0,0.5,1.0,0.5,1.0,2.0
0.0,0.5,1.0,0.5,0.5,0.5,0.5,2.0
0.0,0.18247373200766046,1.0,0.03985253222034528,0.9978331553117105,0.0012328193449117977,1.0,922.0
0.0,0.02445502435583769,1.0,0.046639776058542186,0.23449932773479687,0.00521281050937865,0.3845467169212457,426.0
0.0,0.0307551833678768,1.0,0.010879342680194888,0.22001803982068616,0.03606239017766261,0.16389990363975568,1274.0
0.0,0.3827160493827161,1.0,0.345679012345679,0.5987654320987654,0.07407407407407408,0.2222222222222222,18.0
0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
0.0,0.27999999999999997,1.0,0.27999999999999997,0.5199999999999999,0.27999999999999997,0.27999999999999997,5.0
1.0,0.07597448185342327,1.0,0.0748145660999359,0.6985440004883856,0.6954305424132352,1.0,181.0
0.0,0.42534722222222227,1.0,0.0625,0.5503472222222222,0.03732638888888889,0.10937500000000001,48.0
0.0,0.19444444444444442,1.0,0.09722222222222221,0.8472222222222222,0.37500000000000006,0.1111111111111111,12.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.05349862258953168,1.0,0.05625344352617081,0.39597796143250685,0.020055096418732783,0.1490174471992654,330.0
0.0,0.5093158589662087,1.0,0.03472052423101374,0.965426182209399,0.008582326764144946,0.22096435033497974,286.0
0.0,0.375,1.0,0.25,0.375,0.25,1.0,4.0
0.0,0.625,1.0,0.625,0.375,0.25,0.375,4.0
0.0,0.3333333333333333,1.0,0.3333333333333333,0.5555555555555555,0.3333333333333333,0.3333333333333333,3.0
0.0,0.023419649228595782,1.0,0.03568066333006974,0.19077517701031355,0.0029466231195116733,0.17209973806463852,4569.0
0.0,0.09270216962524656,1.0,0.20578566732412887,0.8159105851413544,0.05325443786982249,0.4963839579224194,39.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.19880000000000006,1.0,0.22740000000000005,0.7317999999999999,0.0204,0.477,100.0
0.0,0.27797406784179896,1.0,0.052352616306404975,0.81667532457477,0.006834874250803993,0.20412229849580601,3133.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.01742382271468144,1.0,0.20090027700831029,1.0,0.018711911357340717,0.5699584487534626,380.0
0.0,0.027664715085240554,1.0,0.023414461057079724,0.669500814502992,0.0032341413848163717,0.13846550862082874,1245.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.01856009167526701,1.0,0.015627380790494354,0.30708498316131316,0.0018616640667488285,0.12524622188168152,3351.0
0.0,0.20499479708636834,1.0,0.1550468262226847,0.4214360041623309,0.04266389177939646,0.057232049947970855,31.0
0.0,0.0874074074074074,1.0,0.5002469135802469,0.41629629629629633,0.2859259259259259,0.10222222222222221,45.0
0.0,0.12396694214876035,1.0,0.19008264462809918,0.5537190082644629,0.10743801652892562,0.3388429752066115,11.0
